address,microstx
12x1pvAxkgNZyq221q7NhxG4FAMVgWq1gV,13541666671
12x3JSmqDhdJ8cPE3FZJ74XJC8XCrkpwiH,22604347223
12xidqstZjTcXCp4Xt6rmaPiBj6TV7p1Qs,1047890278
12xqMLcn9Ld1kJq3P9rmceCYVCbXb4YMQb,135416666671
12xrtj66nbStRD6u54q4T5hEVE4BKdMUht,18147223
12y6NmbLqwcXir3aRHSguS8xd5LZHJvaLv,0
12yA6t3a5qJDooY2rtYGMn15NgDsKRce7q,163456
12yTkyPVrSkBowPrdbLxEWT7i2YfUnKThT,102326389
12yXYiTcmeqtb9uNYVrm3EE6GSuK562BgR,2123457
12yfk9Xv6hxP2BVs4kBtBUx8YPb5VXnomr,20833334
12yjLdQ7agV3i4Nnk1qVvwbxFxHzkgXoRi,34180556
12yrhfNMYGNvk1yfPtS94rism1mU4xyJuf,174215278
12z78eiHUYiD6UwsGj8WJ16r6jzm913T4X,69444445
12zXC1C7K3i257ioAg1QvKYMNSAvsMbbKu,5555631945
12zebLxPc3tBDm9Ha8qny5xTB3jV7i8Vb8,23915278
12zuaaodninm4C1ugXfafAsZYjWADmpHr4,69444445
12zzJUL6MD4vykEnWUJXa3PcDi8WaK4twx,114185734
13142ZCC5EefU7LX86uBmZGQzFC7rhSCub,1041666667
131RVVL3N3DAuEBZDg43Hdks9vrPmHn8GE,101562500000
131eJiucfxnXVT4LE4MNZPkADbvUePcgP1,75681945
132GngsJ2QHYiyGtrN9Rd5YaFizKqHhL8L,69444445
132TRV9ZcL1e5YA5HtxShkf5YJPHJ9kiQd,12981000000
132YT5c3zjhMnGXCJ7HwzCmnZqKHo79dnF,27777778
132YnRrRQDQnqHaMxPSVwVMp6wfyJ6Vh6G,21659083337
1331ZRp7mhvbSQ1ybqTgjMfZSh3aF5Uqh4,381945834
133eYWh1o1F1B6Ta4uePSWhMRjHYFSJB77,315972041671
133oQupYduFKPeKwHHJAphJXy9jzQTLb1w,1043141667
133pcqYExZSvfxhMpFtmoupVi2XrBey4Qk,833333334
134CVNGoMdtk87MRDk96RHaB9wXWCc8zBF,173611112
134Hxs5ivjSmwC7La6FEHqExjWoBqiwucT,69444445
134ckqWSFsRf7RK5XYEdU3CLptyTu6N7Tm,451388889
134y6MvWeaqjSRiz5rnnGrHoqKgWTaP61h,774000000
135BnBv3u8JTWgJNaigpStmEfhc7npXuoL,7223
135iQRLM92t3eWekh5au2fEFMGw9vN2Z6N,27777778
135pzEc3HLX9WaWZubr81E6ffYLuSLwQpi,18055375000
136ELQCxt9TrG1zvLKfEm5RD6bfTvvAQ8K,13544375000
136G4yHkcWLS4pF7iwt3jTAFARdpaeDfuh,59166667
136edoCSurYvygrRmsRuRDuV1qxHfYN5tT,55555556
136hN99sybKLAK2xbVjYWo8VDFCfnXC2pk,13893056
1372u9qkyKkF277nDnHWJq5chg85afc5GG,1041666667
137HbGvPNG3DDoqUJE7QFS1vKZqEoeBDvG,54166667
137N2fJjjhgxSQnAceeaMSDGNWpddLPUTt,125000000
138UVmf7mVUBWbF7XDs28fuxoL2jHsdfeF,111111112
138YGUKdMWq2q18kJ75E8N5qrTtK5x8j8W,67708333337
1399zpxWFtBVDcs5VGD2sLn1yySY86VNVg,172180556
139DzBDVJCMFfSBEX98udCGEnVA78ZMYUX,138888889
139US51mGq9izFGrXRfYPd6BiYpnnR4LFo,1041666667
